DriverNumber,BroadcastName,TeamName,Position,GridPosition,Time,Status,Q1,Q2,Q3
1,M VERSTAPPEN,Red Bull Racing,1.0,1.0,03:01:44.004,Finished,1:30.224,1:30.346,1:29.304
11,S PEREZ,Red Bull Racing,2.0,4.0,03:02:11.070,Finished,1:30.622,1:29.925,1:29.709
16,C LECLERC,Ferrari,3.0,2.0,03:02:42.833,Finished,1:30.402,1:30.486,1:29.314
31,E OCON,Alpine,4.0,5.0,03:03:22.518,Finished,1:30.696,1:30.357,1:30.165
44,L HAMILTON,Mercedes,5.0,6.0,03:04:02.844,Finished,1:30.906,1:30.443,1:30.261
5,S VETTEL,Aston Martin,6.0,9.0,03:04:49.202,Finished,1:31.256,1:30.656,1:30.554
14,F ALONSO,Alpine,7.0,7.0,03:05:35.571,Finished,1:30.603,1:30.343,1:30.322
63,G RUSSELL,Mercedes,8.0,8.0,03:06:23.232,Finished,1:30.865,1:30.465,1:30.389
6,N LATIFI,Williams,9.0,20.0,03:07:33.375,Finished,1:31.511,0:00.000,0:00.000
4,L NORRIS,McLaren,10.0,10.0,03:08:44.157,Finished,1:30.881,1:30.473,1:31.003
3,D RICCIARDO,McLaren,11.0,11.0,03:09:57.034,Finished,1:30.880,1:30.659,0:00.000
18,L STROLL,Aston Martin,12.0,19.0,03:11:10.938,Finished,1:31.419,0:00.000,0:00.000
22,Y TSUNODA,RB,13.0,13.0,03:12:26.537,Finished,1:31.130,1:30.808,0:00.000
20,K MAGNUSSEN,Haas F1 Team,14.0,18.0,03:13:52.553,Finished,1:31.352,0:00.000,0:00.000
77,V BOTTAS,Kick Sauber,15.0,12.0,03:15:19.049,Finished,1:31.226,1:30.709,0:00.000
24,G ZHOU,Kick Sauber,16.0,14.0,03:16:46.092,Finished,1:30.894,1:30.953,0:00.000
47,M SCHUMACHER,Haas F1 Team,17.0,15.0,03:18:18.615,Finished,1:31.152,1:31.439,0:00.000
10,P GASLY,RB,18.0,17.0,03:20:06.706,Finished,1:31.322,0:00.000,0:00.000
55,C SAINZ,Ferrari,19.0,3.0,00:00.000000,Accident,1:30.336,1:30.444,1:29.361
23,A ALBON,Williams,20.0,16.0,00:00.000000,Hydraulics,1:31.311,0:00.000,0:00.000
